Epoch 000/010: train-loss 1398.9908 | lr 0.005000 | Time 2022-10-05 20:07:50
Epoch 001/010: train-loss 672.0841 | lr 0.005000 | Time 2022-10-05 20:12:09
Epoch 002/010: train-loss 601.4935 | lr 0.005000 | Time 2022-10-05 20:16:29
Epoch 003/010: train-loss 501.8348 | lr 0.005000 | Time 2022-10-05 20:20:48
Epoch 004/010: train-loss 488.0181 | lr 0.005000 | Time 2022-10-05 20:25:06
Epoch 005/010: train-loss 456.3831 | lr 0.005000 | Time 2022-10-05 20:29:25
Epoch 006/010: train-loss 460.7405 | lr 0.005000 | Time 2022-10-05 20:33:44
Epoch 007/010: train-loss 442.8922 | lr 0.005000 | Time 2022-10-05 20:38:02
Epoch 008/010: train-loss 447.7283 | lr 0.005000 | Time 2022-10-05 20:42:21
Epoch 009/010: train-loss 449.9841 | lr 0.005000 | Time 2022-10-05 20:46:39
